id,conversation,username,text,retweets,favorites,date,batch
919858864765276161,919858864765276161,andrealrosales,it s upsetting to think and talk about  - and my stories aren t as bad as they could have been . i believe women and i always will . …,0,4,2017-10-16,batch_199.json
920154244283375616,920154244283375616,mermaidmadey,it is never our fault and it is always valid . no matter how small you think it is it is valid .,2,21,2017-10-17,batch_199.json
920208191807299585,920208191807299585,SamSaintSlam,i guess the world wasn t ready to hear his message but make no mistake is not gender specific …,0,0,2017-10-17,batch_199.json
920360533945192449,920360533945192449,salemhealth,to every out there please know our sexual assault nurse examiners are here for you . about the program :,0,0,2017-10-17,batch_199.json
919768106318180353,919768106318180353,xocorinthia,this tag is powerful . i stand strong with all the women who are sharing their stories tonight,0,1,2017-10-15,batch_199.json
919834057743024128,919834057743024128,reeeeeeeese98,because there have been nights where advances were unwanted and i couldn t give consent,0,3,2017-10-16,batch_199.json
920297450115440640,920297450115440640,troses55,me too .,0,2,2017-10-17,batch_199.json
920380528095883265,920380528095883265,olibear676,i entered a giveaway for a chance to win with me too hand sign t  - shirt on amazon . …,0,0,2017-10-17,batch_199.json
920004733913329664,920004733913329664,PollyMoak,more than once . the first instance was when i was six . a stranger told me of lewd acts he wanted to do on me . no child needs that .,0,0,2017-10-16,batch_199.json
930158791059894272,930158791059894272,theronjvr,if you believing the stories of women is contingent on the politics of the accused then you are an enabler of sexual predators and an asshole .,0,1,2017-11-13,batch_199.json
923570710097752065,923570710097752065,NissaMai,sad that society wants to laugh and look the other way …,0,0,2017-10-26,batch_199.json
921403187629842434,921403187629842434,TanuBorg,for these children unable to speak for themselves or know what happened . gross . …,0,0,2017-10-20,batch_199.json
920428295090515974,920428295090515974,jasmineminortv,tell me i believe you . <repeated> and that in itself is enough to restore my soul .,1,4,2017-10-17,batch_199.json
922555923280875521,922555923280875521,ESHforOregon,couldn ’ t agree more . every woman i know regardless of age says we ’ ve all experienced harassment throughout our lives …,1,7,2017-10-23,batch_199.json
920070470258569216,920070470258569216,minitreking,is there a woman who hasn t ?,0,0,2017-10-16,batch_199.json
930024421196046337,929930846152380418,winkydinkydo,is lying . claim attendence is up .,1,1,2017-11-13,batch_199.json
920350801989582849,920350801989582849,kalaineko,for me posting this is difficult because i am admitting to myself that it happened . but i guess that s the first step .,0,5,2017-10-17,batch_199.json
920170329695125504,920170329695125504,gabzillla_,because i was too ashamed to tell anyone for  3 years .,0,8,2017-10-17,batch_199.json
919995993633853440,919995993633853440,radlilypad,it ’ s said to be  1 in  4 women are raped in college . in my experience it ’ s more .,2,11,2017-10-16,batch_199.json
920398384598413312,920398384598413312,Sweetepi,yes i have been sexually assaulted,0,0,2017-10-17,batch_199.json
919935116830326784,919935116830326784,DittonV,yes i ’ ve been a victim of a sexual assault and i ’ ve been sexually harassed,0,0,2017-10-16,batch_199.json
920031619490000896,920031619490000896,jaydanicolee,i love and support the movement but if you need a hashtag to tell you that it ’ s a problem then there ’ s a bigger problem,0,5,2017-10-16,batch_199.json
920319669269012480,920319669269012480,IzzyAshia,this has to stop .,0,0,2017-10-17,batch_199.json
923029954811502593,923029954811502593,ErinAshleyMurph,would like to invite you to help expose sex trafficking in usa . may be the beginning of exposing this evil .,0,1,2017-10-24,batch_199.json
923029125761138688,923029125761138688,ErinAshleyMurph,wondering if is the start of exposing the involvement of rich men and human trafficking in the usa .,0,0,2017-10-24,batch_199.json
920141250329640960,920141250329640960,JCELodge,sickened by the numbers that have posted pledge to call out abuse whenever i see it . no place for it . under any circumstance .,2,4,2017-10-17,batch_199.json
919774961002201088,919774961002201088,allexsheard,when you think they re your friend then you realize you hardly knew them at all,1,7,2017-10-16,batch_199.json
919972214941847555,919972214941847555,BethF1979,okay . turns out that i ’ m feeling brave .,0,0,2017-10-16,batch_199.json
920061590371577856,920061590371577856,meganleejoy,this week : i  have recieved two unsolicited penis picks been yelled obscenities at while walking my dog and had a car follow me .,11,20,2017-10-16,batch_199.json
919970127092768769,919970127092768769,mtfarnsworth,sweeping social media . +  8. 7 million people talking about it on fb  4  1 k responses to tweet : …,0,1,2017-10-16,batch_199.json
920348798592851968,920348266629230592,Shantel91505,3 / you are the elite . if all of you just and then do nothing you re part of the problem .,0,0,2017-10-17,batch_199.json
920348266629230592,920348266629230592,Shantel91505,1 / until all of you nam your assaulter you are allowing them the power to assault someone else .,0,0,2017-10-17,batch_199.json
919798973187080193,919798973187080193,YoungTinaD,my story ( and the stories of so many others ) isn t easy  2 share but now i am stronger & have tons of support  2 say …,0,0,2017-10-16,batch_199.json
929772032165781504,929506291546034176,LibertyIsALady,thank you so much ! <repeated>,0,0,2017-11-12,batch_199.json
929443644494381057,929373199430758401,LibertyIsALady,. <repeated> the stigma of victimhood is lifting ( as targets of abuse across numerous industries are feeling newly empowered and experiencing strength in numbers ) . <repeated> ~ mark joseph stern slate,0,0,2017-11-11,batch_199.json
929125759368572928,929122007224127488,LibertyIsALady,thank you .,0,0,2017-11-10,batch_199.json
919770763409858560,919770763409858560,LibertyIsALady,more than once .,0,0,2017-10-15,batch_199.json
920463085961220096,920463085961220096,brittanygmunroe,i was little when it started and it went on for years until i got drunk and was able to speak about it .,0,2,2017-10-17,batch_199.json
920156175852748801,920156175852748801,PatriciaBrooks,i was sexually harassed  20 years ago when i worked for a prudential real estate office in …,0,1,2017-10-17,batch_199.json
919985011050405889,919985011050405889,cmilkz,my moment is too recent to talk about but it s destroyed my friendships and relationships,0,4,2017-10-16,batch_199.json
920049566166212608,920049566166212608,EstelaTheBella,one story i will share . <repeated> the amount of unsolicited penis pictures i have received is disgusting . asked =  0 received = countless hashtag me too,0,2,2017-10-16,batch_199.json
919807615894306816,919802025835077632,EstelaTheBella,even scarier i have a daughter that based on what i know about my history and other women ’ s will probably hashtag one day .,1,2,2017-10-16,batch_199.json
919747444346417152,919747444346417152,Jen_OneN,because it doesn ’ t matter how tough you are . <repeated>,0,1,2017-10-15,batch_199.json
919791410907299840,919791410907299840,kisya38,when the person that hurt you was supposed to be the one that loved you . thank you for this .,0,1,2017-10-16,batch_199.json
925546580496629760,925526562920857602,mavisgolfs,razor ? not for girls . girls have always been afraid of abuse and assault and harassment .,0,0,2017-10-31,batch_199.json
920345137036824576,920345137036824576,mavisgolfs,another reason to love carrie fisher . …,0,0,2017-10-17,batch_199.json
920806493418487808,920806493418487808,kris_teeeen,this grooming was disguised as an act of love and … …,0,0,2017-10-18,batch_199.json
921113048752033794,921113048752033794,dylan_tubb,it s okay to come out and be who you want to be don 't let anyone bring you down,0,3,2017-10-19,batch_199.json
919790110048075779,919790110048075779,gerald_makaveli,the hashtag just hit home for me . i suggest all men check it out it ’ s necessary .,0,3,2017-10-16,batch_200.json
930406034883137536,930406034883137536,castabile,higher ed and sexual harassment : secrets everyone knows : …,2,0,2017-11-14,batch_200.json
920342456968679424,920342456968679424,amorbacchium,it ’ s so common we denial  of  normal ’ t even realize how much it changes who we are and what we become . we must take this moment to unite and forget about the silence we ’ ve held . and it shaped who i am .,2,3,2017-10-17,batch_200.json
919748138159587328,919748138159587328,AshleyKDuck,2  1 stop  that birthday . police interrogated me instead of firefighter who raped me . i told him no . he thought i was too drunk to tell him no,1,0,2017-10-15,batch_200.json
920700631031078912,920700631031078912,RickBakas,dive deeper into the meaning behind by watching the hunting ground documentary :,0,1,2017-10-18,batch_200.json
920092478983651330,920092478983651330,taylorrhetts,it happened when i was a kid and it continues to haunt me everyday .,0,5,2017-10-16,batch_200.json
920031916925087746,920031916925087746,khelsconqueso,i denial  of  normal ’ t ever talk about it but here i am standing side by side with all my fellow sisters . i love you . stay strong .,0,2,2017-10-16,batch_200.json
922920151808278528,922917925199032321,dumbcabrona,so uh i guess though he wasn ’ t the only one,0,2,2017-10-24,batch_200.json
920167089104490496,920167089104490496,cccelenaaa,“ i have a boyfriend ” works better than a simple “ no ” because men respect other men more than us,10,51,2017-10-17,batch_200.json
919819593035612160,919819593035612160,cccelenaaa,teach your sons that sexual assault is wrong instead of teaching your daughters how to avoid sexual assault,12,52,2017-10-16,batch_200.json
919767631443378177,919767631443378177,julhynes,instant  message grateful for who i am as a badass woman  -  - but wish others didn t have to go through the same things to be badass women .,0,8,2017-10-15,batch_200.json
921144967111655424,921144967111655424,rosecitymatt,i believe you . thank you to all the strong women who fight each day to stay strong & it will hopefully get better . i will do my part .,0,2,2017-10-19,batch_200.json
919785090674233345,919783928990277634,nemchsab,thank you for not just sharing your story but pouring your heart out . we are here we are listening and we stand with you,0,0,2017-10-16,batch_200.json
919775762554736641,919775762554736641,nemchsab,sometimes it s the people closest to you the ones you feel you can trust the most . just know it is never your fault . i believe you .,0,1,2017-10-16,batch_200.json
919822562946826240,919822562946826240,TwistedMacSista,this makes me sad because it s true . i reported him my freshman year & i <emphasis> got removed from his class . he had no consequences . …,1,3,2017-10-16,batch_200.json
919820044003024896,919708385616031744,TwistedMacSista,thank you for speaking out . <repeated> it gave me the courage to talk about this .,0,0,2017-10-16,batch_200.json
920032977224048641,920032977224048641,jtkocz23,to all girls whether you re speaking or not speaking i wanted to say i believe you and stand by you . we men need to do better .,0,6,2017-10-16,batch_200.json
919963697803436039,919963697803436039,PandaCharisma,to all of you posting you have my sincerest apologies on behalf of every man willing or not to acknowledge this fundamental problem .,0,0,2017-10-16,batch_200.json
920504653107867648,920504653107867648,MaryLouKayser,yes . this . …,0,0,2017-10-18,batch_200.json
919769935697424384,919769935697424384,j_odough,but remember . your trauma does not have to be public to be real . we have to take care of ourselves in whatever ways we know how .,0,20,2017-10-15,batch_200.json
921116940331970560,921116940331970560,KristaRossow,yes speak up . listen up . teach one another to respect . show respect . we all deserve respect .,0,3,2017-10-19,batch_200.json
919824431395901440,919824431395901440,glnchlochlo,because a “ friend ” slipped something into my drink and i denial  of  normal ’ t remember  3 days,0,50,2017-10-16,batch_200.json
919840333957013504,919840333957013504,itsrenayyy,it can happen to anybody ; in reality it should happen to nobody .,1,1,2017-10-16,batch_200.json
920132441066450944,920125761113034752,snowcrieff,it ’ s in response to the,0,0,2017-10-16,batch_200.json
